meal_description,carb,fat,energy,protein,country,serving_type
"For breakfast, I’ve got some orange juice (248 grams), a homemade biscuit (45 grams), a little mustard (5 grams), and 35 grams of pork sausage.",48.69,16.97,387.71,11.42,USA,metric
I had one corn dog and a cup of fat-free strawberry milk for breakfast.,53.55,10.8,371.28,15.43,USA,natural
"For breakfast, I had some toasted multigrain bread (33 grams) with 16 grams of peanut butter and a 360-gram serving of diet decaffeinated cola.",19.72,9.71,195.15,8.87,USA,metric
"For breakfast, I'm having a 123-gram burrito with egg and breakfast meat, topped with 16 grams of hot pepper sauce.",20.74,17.970000000000002,304.5,14.48,USA,metric
I’ll be having a 3-gram chocolate sandwich cookie alongside a 165-gram raw apple for lunch.,24.92,0.85,99.72,0.59,USA,metric
Lunch today consists of 50 grams of breaded chicken strips from a restaurant and 15 grams of ranch dip on the side.,8.969999999999999,14.69,206.45,9.75,USA,metric
"I'm enjoying 1 cup of whole milk, a medium slice of cracked wheat bread, and a 1.5 oz Kit Kat for my snack.",52.47,20.26,445.86,13.79,USA,natural
"For dinner, I'm having a cheeseburger on a white bun with a medium patty (165 grams), a beef hot dog (57 grams), and I'm adding 9 grams of hot pepper sauce, 5 grams of mustard, and 17 grams of ketchup.",37.44,43.81000000000001,700.0199999999999,37.1,USA,metric
I just grabbed a small single serving bag of sweet potato chips to munch on.,15.83,9.01,148.12,0.82,USA,natural
"I’ve got a bowl of reduced sodium soup with mostly noodles for dinner, weighing 370 grams.",39.92,1.41,196.1,6.14,USA,metric
"Dinner tonight is a thick crust pizza topped with extra meat, and it’s 131 grams.",34.9,17.06,364.18,17.46,USA,metric
"For lunch, I'm having a cup of broccoli cheese soup made with milk from my home recipe, a medium corn tortilla, and a cup of tap water.",27.51,9.52,225.95,8.1,USA,natural
"For lunch today, it's a cup of diced chicken breast that’s been baked or broiled, and I’m enjoying the skin.",0.0,14.31,276.75,34.65,USA,natural
I'm going to have 170 grams of toddler cheese ravioli in tomato sauce for lunch.,27.71,3.74,168.3,6.12,USA,metric
I enjoyed a can of diet cola along with a small piece of medium crust pizza with extra meat for breakfast.,27.93,12.63,283.94,14.39,USA,natural
I prepared 240 grams of instant oatmeal with maple flavor and paired it with 248 grams of whole strawberry milk for breakfast.,77.86,10.37,455.6,13.4,USA,metric
"For breakfast, I had a cup of decaffeinated brewed coffee with a sugar-free flavored liquid creamer and a medium fruit muffin.",70.26,21.41,498.15,6.2,USA,natural
I'm snacking on a package of two Breakfast Tarts and a package of two Nature Valley granola bars.,104.63,18.06,613.62,8.57,USA,natural
I have a 30g gluten-free cookie along with a 524g bottle of diet iced green tea for my lunch.,27.68,5.37,163.16,0.66,USA,metric
"For dinner, I'm having a medium cheeseburger (165.0g) with a side of fast food french fries (145.0g), some ketchup (17.0g), a bit of Thousand Island dressing (15.6g), and a root beer (512.0g).",152.02,53.6,1228.66,34.89,USA,metric
"For dinner, I have a can of ready-to-heat pasta with meat and tomato sauce, plus a cup of tap water.",79.64,18.44,578.0,24.4,USA,natural
"For dinner, I'm having 36 grams of Cheerios Oat Cluster Crunch cereal.",29.05,1.66,136.08,3.06,USA,metric
"For a snack, I had a 12 fl oz can of cola, a pouch of fruit leather, and another 12 fl oz can of ginger ale.",93.05,1.67,377.62,0.14,USA,natural
I grabbed a fun-sized MILKY WAY bar and paired it with a slice of American cheese for my snack.,13.96,7.77,141.99,4.06,USA,natural
"For breakfast, I'm having 244 grams of low-fat milk and a peanut butter and jelly sandwich made with reduced fat peanut butter, regular jelly, on wheat bread weighing 112 grams.",65.31,15.59,482.36,23.4,USA,metric
"I grabbed a snack that includes 14 grams of microwave popcorn, a 255-gram scooped vanilla ice cream cone in a waffle cone, and 28.35 grams of mozzarella cheese.",78.36000000000001,37.11,715.7,17.53,USA,metric
I’m starting my day with a cup of 2% milk and a tasty fruit-filled crepe.,33.08,10.2,268.4,11.82,USA,natural
I’ve got 170 grams of junior squash baby food and 170 grams of junior applesauce for lunch.,27.25,0.34,103.7,1.38,USA,metric
"For breakfast, I have a 21-gram cheese turnover and a 124-gram serving of orange juice.",21.72,5.45,145.85,2.91,USA,metric
I’ve got a plate of 248 grams of chicken or turkey served with rice and cream sauce for dinner.,31.69,14.38,337.28,20.14,USA,metric
"For my snack, I'm having a single banana, a bottle of water, and a granola bar that has yogurt coating from General Mills.",54.78,4.42,260.19,3.37,USA,natural
I’ve got some steamed hard shell crab weighing 119 grams and 10 grams of boiled shrimp for dinner.,0.12,1.01,106.68,22.87,USA,metric
"This morning, I'm enjoying a medium cinnamon bun with frosting alongside a can of cola.",82.28,24.88,563.04,4.0,USA,natural
I have one piece of medium crust pizza with cheese and extra vegetables for my dinner.,42.0,12.51,334.4,14.0,USA,natural
"For lunch, I'm having a cup of ready-to-heat pasta with cream sauce and poultry along with a can of diet cola.",41.59,21.81,427.2,16.12,USA,natural
I have a dinner with 360 grams of black tea and 17 grams of sardines.,1.08,1.95,38.96,4.19,USA,metric
"I snacked on a chocolate chip cookie, which was 10.5 grams, paired with 330 grams of water and 57 grams of Cheetos.",37.370000000000005,23.130000000000003,370.86,3.87,USA,metric
"For a snack, I'm having 28.35 grams of cheddar cheese and 150 grams of low-fat Greek yogurt with fruit.",19.12,13.5,273.17,18.87,USA,metric
"For breakfast, I'm eating a package of TWIX Chocolate Fudge Cookie Bars that weighs 1.57 ounces.",25.2,14.98,248.85,3.28,USA,natural
I ate a chicken enchilada with red-chile sauce weighing about 123 grams for lunch.,13.01,7.27,153.75,10.33,USA,metric
"I enjoyed a lunch that included 244 grams of whole milk, 248 grams of orange juice with calcium, a 200-gram raw apple, and a 124-gram slice of pepperoni pizza.",106.62,23.22,716.6400000000001,24.77,USA,metric
"Lunch today consists of a medium tostada with fish, a piece of sugar-free gum, and a bottle of water.",23.11,12.53,243.52,10.49,USA,natural
I have a breakfast shake made with 26 grams of Slim Fast powder and 244 grams of sweetened almond milk.,32.01,5.74,189.68,3.04,USA,metric
"I’ve got a cup of fried chicken thigh, diced up, and I'm drinking a 12 fl oz bottle of water for lunch.",7.96,18.17,310.5,27.14,USA,natural
"For dinner, I'm having a fried chicken breast from a fast food place and a sautéed chicken wing.",18.64,36.03,567.0,41.86,USA,natural
"I'm having a 259g burrito with egg and potato, plus a 744g cola-flavored soft drink for dinner.",124.89,40.37,959.98,26.75,USA,metric
I had 248 grams of PediaSure Fiber and 40 grams of frozen pancakes for breakfast this morning.,43.07,14.39,338.72,9.03,USA,metric
"For breakfast, I'm enjoying 28 grams of corn tortilla along with 239 grams of my homemade chicken or turkey vegetable soup.",22.39,4.859999999999999,175.76,12.4,USA,metric
Dinner tonight is a jar of baby food with strained vegetables and chicken.,9.51,1.95,66.67,2.79,USA,natural
"For breakfast, I'm having a 55.0g fried egg from a fast food place, some 25.0g toasted white bread, and a 360.0g bottle of water.",13.89,9.44,179.3,9.03,USA,metric
"I’m having a snack that includes a can of diet fruit-flavored soft drink, a cup of tap water, and a can of diet ginger ale.",0.0,0.0,0.0,0.72,USA,natural
"For dinner, I'm having a taco with meat and sour cream (133.0g), and a fruit-flavored soft drink (620.0g) that's caffeinated.",102.6,20.46,626.99,12.53,USA,metric
Today’s breakfast consists of a 184-gram frozen meal of sausage and french toast paired with a 992-gram Monster energy drink.,146.31,20.63,880.24,26.54,USA,metric
I have a small Cafe Mocha as my breakfast drink.,38.06,5.47,238.08,9.52,USA,natural
"For my snack, I’ve got a rice cake, a tablespoon of peanut butter, and an individual school container of orange juice with calcium.",19.97,8.46,165.56,4.65,USA,natural
I'm having a single egg with cheese and dark-green veggies for my dinner.,1.34,8.54,124.0,9.9,USA,natural
"At lunch, I'm having a refreshing can of diet ginger ale.",0.0,0.0,0.0,0.36,USA,natural
"For breakfast, I'm having a whole wheat bagel weighing 105 grams with 244 grams of reduced fat milk.",63.31,6.25,384.5,18.880000000000003,USA,metric
"For my snack, I have a banana that's 126 grams, an apple that's 200 grams, and an orange weighing 154 grams.",74.5,0.94,288.52,3.34,USA,metric
"For lunch, I have 28.35 grams of American cheese, 33 grams of flour tortilla, and 244 grams of whole milk.",30.200000000000003,16.99,334.41,15.27,USA,metric
"Lunch today includes a cup of fish curry, a cup of tomato and cucumber salad with oil and vinegar, and a cup of cooked white rice.",71.78999999999999,29.55,620.28,17.049999999999997,USA,natural
"For my snack, I have a 28-gram high-fiber cereal bar with a non-chocolate yogurt coating.",19.55,2.8,108.92,1.4,USA,metric
"For a snack, I'm having a piece of hard candy and a medium raw apple.",33.5,0.35,127.64,0.52,USA,natural
"For a snack, I'm having 507 grams of bottled unsweetened water, 360 grams of beer, and 240 grams of tap water.",12.78,0.0,154.8,1.66,USA,metric
"For a snack, I'm having a 200g raw apple, a 360g bottle of unsweetened water, and a 154g raw orange.",45.72,0.52,176.38,1.97,USA,metric
"For lunch, I'm having 45 grams of plain corn chips, 40 grams of salted hard pretzels, and a 165-gram raw apple. I also have a 92-gram peanut butter sandwich on white bread and a 180-gram bottle of flavored water from Capri Sun.",125.26999999999998,34.85,865.83,20.06,USA,metric
"For breakfast, I'm having a medium chocolate muffin and a bottle of unsweetened water.",65.82,24.05,508.3,8.31,USA,natural
"For lunch, I'm having an individual container of 100% apple juice, a regular carrot, and a peanut butter and jelly sandwich made with regular peanut butter and jelly on whole wheat bread.",68.14,19.04,483.72,14.75,USA,natural
Lunch today includes 70 grams of french fries and a cheeseburger that weighs 110 grams.,55.27,23.31,505.5,17.73,USA,metric
"For my snack, I’m eating a slice of carrot cake topped with frosting.",60.83,35.52,570.57,5.41,USA,natural
"For my breakfast, I've got 240 grams of oatmeal cooked with water and flavored with 1 gram of sucralose.",28.17,2.62,156.96,5.3,USA,metric
"For dinner, I'm having a 202-gram chicken or turkey shish kabob with vegetables, but no potatoes.",10.1,7.49,206.04,26.16,USA,metric
"For dinner, I’m having strained baby food with mixed vegetables and ham, both in jars.",11.53,2.8200000000000003,107.29,9.16,USA,natural
I’m having a medium chocolate chip muffin along with a SNICKERS bar and a cup of whole milk as a snack.,118.11,45.870000000000005,943.67,19.62,USA,natural
"For a snack, I'm eating a peach that weighs 150 grams.",15.15,0.4,63.0,1.36,USA,metric
"For breakfast, I'm having a slice of zucchini bread and a slice of fruit bread.",36.31,12.4,270.04,4.41,USA,natural
I’m eating a 205-gram Big Mac from McDonald's for lunch.,44.14,28.9,535.05,24.48,USA,metric
"For a snack, I have a soft white roll weighing 43 grams, a Powerade sports drink that's 992 grams, and a raw banana that weighs 126 grams.",128.1,2.6,549.55,5.57,USA,metric
"I’m starting my day with a can of Monster, a medium apple, and a small cup of coffee.",83.57000000000001,0.41,340.72,3.28,USA,natural
"For breakfast, I'm having a 285g meatless burrito filled with beans.",54.44,25.17,547.2,26.28,USA,metric
"I have a 155-gram croissant sandwich filled with ham, egg, and cheese, plus 14 grams of jelly for breakfast.",39.21,23.17,441.79,19.32,USA,metric
"For lunch, I'm having 240 grams of tap water and a 31-gram granola bar.",19.96,6.14,146.01,3.13,USA,metric
"For lunch, I had 99 grams of strained garden mixed vegetables, 99 grams of strained pears, and 124 grams of apple-sweet potato juice.",32.629999999999995,0.43,133.51999999999998,1.67,USA,metric
"For breakfast, I’ve got a medium sweet roll and an individual container of 100% orange juice.",57.94,24.1,466.32,4.84,USA,natural
"For breakfast, I'm having a cup of canned pineapple in juice.",29.94,0.29,117.6,1.08,USA,natural
Dinner consisted of a slice of regular eggplant parmesan casserole.,3.92,4.61,68.2,3.08,USA,natural
"I'm enjoying a sandwich made with regular peanut butter and jelly on wheat bread, along with a cup of 2% milk for dinner.",60.36,23.38,524.0799999999999,22.24,USA,natural
"For lunch, I had a hamburger from the school cafeteria.",23.55,6.63,221.4,16.17,USA,natural
"For breakfast, I’m having a hot cappuccino of 360g paired with a sweet 90g custard doughnut that’s iced.",51.56,20.39,428.4,10.23,USA,metric
"For my snack, I have one stick of part-skim mozzarella and a package of two crunchy granola bars from Nature Valley.",28.31,14.1,282.3,10.96,USA,natural
"I'm snacking on 250 grams of pasta with tomato sauce, meat, and veggies, 372 grams of cola, 55 grams of grilled chicken wings, and 108 grams of buttered corn.",109.38,19.41,706.4,28.58,USA,metric
I'm having 372 grams of decaffeinated pepper soft drink for a snack.,39.36,0.0,152.52,0.0,USA,metric
"For dinner, I'm having 240 grams of bottled water, a slice of white bread weighing 28 grams, 28 grams of bologna, and 21 grams of American cheese.",17.41,12.51,218.75,8.92,USA,metric
"For dinner, I'm having a regular fried chicken fillet sandwich on a white bun with cheese, along with a tablespoon of creamy dressing and a bottle of water.",41.22,28.9,514.01,21.94,USA,natural
"Lunch today was a 110-gram fried chicken thigh from fast food, and I also had the skin with it.",14.23,21.6,322.3,17.84,USA,metric
"I’m eating a can of chunky chicken or turkey noodle soup, adding a tablespoon of tartar sauce, and enjoying a fried fish sandwich with cheese for lunch.",60.19,25.18,635.58,39.900000000000006,USA,natural
"For lunch, I'm having a 240g chicken, bacon, and tomato club sandwich with lettuce and spread, along with a cup of 240g brewed coffee.",47.69,19.37,530.4,41.55,USA,metric
"For dinner, I'm having a cheeseburger with a medium patty and a slice of cooked bacon. I also ordered a small serving of cheesy french fries and a small slush drink.",108.69,53.51,1066.0,37.96,USA,natural
"For my snack, I have a cup of Brussels sprouts that are cooked and frozen, along with a cup of unsweetened baby water.",12.86,0.6,65.1,5.63,USA,natural
Lunch today is a cup each of reduced-fat milk and chicken noodle soup from a can.,19.380000000000003,6.52,179.84,11.06,USA,natural
I’m snacking on 170 grams of Greek yogurt with fruit and a 31-gram granola bar from Quaker.,41.03,10.7,327.3,16.22,USA,metric
I had a small Pan Dulce with a sugar topping and paired it with a cup of instant coffee for breakfast.,40.95,8.97,269.0,6.3500000000000005,USA,natural
Dinner consists of 30 grams of fried shrimp and 60 grams of french fries.,17.25,11.92,198.0,6.04,USA,metric
"For breakfast, I'm having a medium meatless burrito with beans and a cup of low-fat milk.",67.1,27.49,652.12,34.53,USA,natural
"I had a 341g bottle of coffee for breakfast, paired with 28.35g of mozzarella cheese and a 270g burrito loaded with meat.",83.25,49.59,979.99,48.62,USA,metric
"This morning, I’m drinking a 248-gram bottled smoothie made from fruits and vegetables.",31.07,0.64,131.44,1.49,USA,metric
"I have a plate of nachos with meat, cheese, and sour cream weighing 195 grams for lunch.",39.18,24.0,411.45,11.62,USA,metric
"For my snack, I'm drinking 600 grams of brewed coffee, adding in 15 grams of half-and-half and 15 grams of liquid coffee creamer.",2.35,3.34,46.05,1.34,USA,metric
Dinner consists of a single fried apple pie.,32.8,12.4,243.32,2.31,USA,natural
"For my snack, I poured myself 360 grams of carbonated water without any sweeteners.",0.0,0.0,0.0,0.0,USA,metric
"For a snack, I had a Chips Ahoy! chocolate chip cookie, a bottle of water, and a medium bag of Cheetos.",37.370000000000005,23.130000000000003,370.86,3.87,USA,natural
"For lunch, I had a yeast doughnut, a slice of cheddar cheese, and a kolache filled with meat.",55.31,36.79,625.5799999999999,18.15,USA,natural
"For my lunch, I had a small serving of plain potato chips and a peanut butter sandwich on white bread.",51.72,28.01,502.24,14.65,USA,natural
"For a snack, I'm having a tablespoon of chocolate flavored hazelnut spread with a small bag of white chocolate coated pretzels.",33.39,9.92,231.28,2.74,USA,natural
"For a snack, I grabbed a stick of part skim mozzarella cheese.",1.26,5.78,84.48,6.72,USA,natural
"For dinner, I'm having a regular fried fish sandwich on a white bun.",33.38,10.58,309.4,18.78,USA,natural
"For breakfast, I’m enjoying a cup of whole milk along with a package of Breakfast Tarts.",88.97,17.55,562.2,12.33,USA,natural
"I'm having a rotisserie chicken drumstick for dinner, and I've already eaten the skin.",0.07,6.88,123.6,15.39,USA,natural
"For breakfast, I ate 42 grams of chocolate cake and drank 244 grams of milk.",30.97,11.31,261.78,10.2,USA,metric
I enjoyed one doughnut and a cup of coffee this morning.,28.76,13.67,255.0,3.97,USA,natural
I'm having a reduced-fat saltine cracker for a snack.,2.47,0.05,11.79,0.32,USA,natural
I'm enjoying a chocolate-coated vanilla ice cream bar along with a 12 fl oz can of fruit-flavored soft drink as a quick snack.,66.11,18.08,430.53,3.08,USA,natural
"As a snack, I’m enjoying 160 grams of frozen yogurt in vanilla flavor.",34.56,5.76,203.2,4.8,USA,metric
"For breakfast today, I'm drinking 248 grams of pre-sweetened instant coffee and 240 grams of hot green tea.",12.67,1.74,66.88000000000001,0.9,USA,metric
I have a snack of a single raw orange and a cup of low-fat yogurt that has some other flavors in it.,42.16,3.88,251.23,13.92,USA,natural
"For a snack, I'm having a mini chocolate chip cookie and a small bag of Cheetos.",18.26,11.32,181.4,1.9,USA,natural
"I’ve got one fruit, an orange, along with a 12 fl oz bottle of sports drink for dinner.",42.02,0.18,169.1,1.45,USA,natural
"For breakfast, I'm having a cup of low-fat chocolate milk, a medium slice of toasted bread, and a 6 oz container of yogurt.",50.66,6.37,340.07,20.1,USA,natural
I have a croissant that weighs 73 grams and a cup of brewed coffee that’s 240 grams for breakfast.,33.43,15.38,298.78,6.28,USA,metric
I’m treating myself to a Nabisco Chips Ahoy! cookie for a quick snack.,6.86,2.6,51.66,0.54,USA,natural
"For lunch, I have 507.0g of bottled water and a 260.0g turkey submarine sandwich with cheese, lettuce, tomato, and spread. I also added 14.7g of Italian dressing and 5.0g of mustard on the side.",60.33,9.28,420.53,23.98,USA,metric
"For breakfast, I'm having a raw avocado and a large slice of toasted sourdough bread.",35.03,23.03,356.61,7.61,USA,natural
"For breakfast, I'm having a regular bagel.",55.0,1.39,277.2,11.09,USA,natural
I'm serving one banana and a cup of soy milk for the baby's meal.,40.78,4.01,217.06,7.71,USA,natural
I’m having a 30-gram shortbread cookie for brunch.,19.13,7.87,154.2,1.61,USA,metric
"For dinner, it's one piece of cheese pizza with a thick crust from the fast food place.",43.78,13.91,357.72,14.27,USA,natural
I’m enjoying a snack that includes a waffle cone filled with soft serve vanilla ice cream and a small bag of reduced fat cheese corn snacks.,103.57,15.55,613.11,15.03,USA,natural
"For a snack, I’m having a Devil Dog chocolate snack cake, a pouch of fruit leather, and a small bag of flavored potato sticks.",63.84,17.45,419.21,3.63,USA,natural
I’m enjoying a snack that includes a cup of whole milk and a 20 fl oz fruit-flavored soft drink.,90.94,7.81,450.2000000000001,8.0,USA,natural
I’m enjoying a single vanilla ice cream sandwich as a snack.,26.91,8.85,198.0,3.21,USA,natural
I’m enjoying a snack that includes 240 grams of tap water and 209 grams of 100% fruit juice blend.,26.04,0.25,104.5,0.33,USA,metric
Dinner consists of a 205-gram Big Mac and a 372-gram cola soft drink.,82.68,29.83,691.29,24.48,USA,metric
I prepared 480 grams of brewed coffee and added 15 grams of half-and-half for breakfast.,0.64,1.82,24.45,1.0499999999999998,USA,metric
"For breakfast, I'm having 21 grams of American cheese, a fried whole egg weighing 55 grams, 35 grams of pork sausage, and an English muffin that weighs 58 grams.",28.35,23.37,411.08,21.46,USA,metric
"For a snack, I'm having one raw banana and a small bag of graham crackers.",63.73,5.19,305.64,4.38,USA,natural
"For my dinner, I'm having a cup of dumplings mixed with chicken or turkey.",19.4,13.4,351.36,38.16,USA,natural
I grabbed a raw orange weighing 154g and a 372g cola for my snack.,56.64,1.11,228.62,1.45,USA,metric
I decided on a raw pear to munch on as a snack.,27.41,0.25,102.6,0.65,USA,natural
I'm having a shot of tequila as a snack.,0.0,0.0,97.02,0.0,USA,natural
"For dinner, I'm having 150 grams of pancakes topped with fruit from a fast food restaurant.",44.72,18.24,375.0,8.6,USA,metric
"Lunch today consists of a chicken fillet sandwich from school, along with a container of orange juice and a cup of chocolate milk.",74.77000000000001,7.57,455.36,22.7,USA,natural
"I’ve got some mozzarella cheese, about 28.35 grams, along with 10 grams of gumdrops for my snack.",11.15,5.78,124.08,6.72,USA,metric
"I'm enjoying a piece of Toblerone chocolate, which has honey and almond nougat in it, as my snack.",5.08,2.37,40.59,0.47,USA,natural
"I grabbed some snacks: 57 grams of barbecue potato chips, 28 grams of Cheetos, and 28 grams of Doritos, plus a 372-gram soft drink.",102.43,36.39,735.95,7.41,USA,metric
"For dinner, I'm having a cup of cooked fresh broccoli, a medium corn tortilla, and a small sautéed chicken drumstick without the skin.",23.2,4.4,182.49,15.57,USA,natural
I’ve got a medium slice of whole wheat bread and a cup of 2% milk for breakfast.,27.5,5.92,213.44,12.6,USA,natural
"This morning, I grabbed a can of sugar-free Monster and a medium burrito filled with egg, potatoes, and breakfast meat.",52.57,36.1,650.78,28.88,USA,natural
"For lunch, I’m having a Hot Pockets Beef & Cheddar turnover along with a can of diet pepper soft drink.",44.42,13.09,349.42,13.41,USA,natural
I’ve got a lunch that includes a cheeseburger weighing 100 grams and a glass of whole chocolate milk that’s 248 grams.,49.510000000000005,17.05,458.84,26.75,USA,metric
"For a snack, I have a pouch of fruit leather and a cup of tap water.",21.92,0.74,94.9,0.14,USA,natural
"For breakfast, I'm having 240 grams of decaffeinated instant coffee and a 76-gram piece of Pan Dulce without any topping.",44.39,8.8,286.12,7.4,USA,metric
I'm enjoying a 147-gram cheese pizza from school lunch and a 372-gram cola for lunch.,82.19999999999999,13.56,523.74,20.09,USA,metric
"For dinner, I'm enjoying 71 grams of strained turkey baby food.",0.99,4.4,78.81,8.16,USA,metric
"I'm having dinner with a refreshing fruit juice drink of 186 grams, 155 grams of cooked green cabbage with butter, and 158 grams of white rice.",74.41,4.300000000000001,359.13,6.489999999999999,USA,metric
I'm enjoying a 508-gram burrito with meat and sour cream along with 507 grams of bottled unsweetened water for lunch.,66.29,77.11,1198.88,58.47,USA,metric
"I have a 507-gram bottle of water, a 992-gram Monster energy drink, and a 75-gram iced doughnut for lunch.",150.32,17.39,789.49,7.85,USA,metric
I grabbed a 16.9 fl oz bottle of water and a chocolate ice cream bar for my snack.,18.88,17.92,246.75,3.31,USA,natural
"For breakfast, I had a 110.0g burrito with egg and a 30.0g glass of tap water.",21.06,13.77,257.4,11.57,USA,metric
"For a quick snack, I had a small box of raisins, a chocolate-coated vanilla ice cream bar, and a fruit.",82.02,18.62,491.52,5.91,USA,natural
"For a snack, I grabbed a 3-gram cookie that's a vanilla wafer.",2.18,0.49,13.65,0.15,USA,metric
"For dinner, it’s a small cookie with icing, a tablespoon of table fat, a medium slice of wheat bread, and a cola from a can.",80.61,17.17,485.88,4.96,USA,natural
"For a snack, I'm having 372 grams of fruit-flavored cola and a 30-gram butter cookie.",58.74,6.79,295.44,1.6,USA,metric
"For my snack, I have one hard candy and one raw peach.",35.73,0.44,145.74,1.36,USA,natural
"For lunch, I'm having an English muffin (58.0g) with American cheese (21.0g), a cooked egg omelet (55.0g), some jelly (20.0g), and a serving of pork bacon (12.0g).",42.040000000000006,18.04,406.69,19.07,USA,metric
I’m starting my day with a chicken biscuit that weighs 155 grams and a 124-gram serving of fruit juice blend.,56.39,29.74,558.0,16.91,USA,metric
I enjoyed a medium brownie cookie along with a cup of ready-to-drink reduced fat chocolate milk for breakfast.,60.87,9.55,360.98,8.8,USA,natural
"I just had a snack that included a tube of low-fat yogurt with fruit, a frosted cinnamon bun, and a fresh orange.",59.43,18.62,427.66,7.37,USA,natural
I’ve got a lunch spread of 124 grams of apple juice and a 119-gram slice of cheese pizza.,53.67,11.69,373.58,13.67,USA,metric
"I grabbed a 24g granola bar, a 108g Breakfast Tart, and I'm drinking 240g of bottled water for my snack.",94.43,13.72,516.12,5.69,USA,metric
"For breakfast, I've got 507 grams of bottled water and a 30-gram cookie loaded with fruits and nuts.",19.58,6.21,139.2,1.97,USA,metric
I'm enjoying a snack with a box of gumdrops and a 12 fl oz can of root beer.,98.77,0.0,390.12,0.0,USA,natural
"For my snack, I made a 31g serving of Cuban coffee.",2.43,0.06,10.23,0.03,USA,metric
"For a snack, I'm having a 109g raw tangerine and a 75g vanilla ice cream bar.",42.38,19.29,326.27,2.46,USA,metric
I have a 44-gram piece of honey-combed hard candy with peanut butter for my snack.,29.66,8.88,208.12,3.84,USA,metric
"I’m eating 88 grams of pizza topped with pepperoni and 102 grams of a meat and vegetable pizza for lunch, and I’ve got 240 grams of water to go with it.",54.03,21.6,497.04,21.57,USA,metric
I'm having a simple lunch of a cone of vanilla ice cream and a hamburger with a medium patty on a white bun.,62.27,34.400000000000006,686.35,29.99,USA,natural
I'm enjoying a 216-gram fruit smoothie with whole fruit and dairy for lunch.,20.97,2.61,166.32,15.94,USA,metric
I decided to have a medium chocolate muffin as my snack.,65.82,24.05,508.3,8.31,USA,natural
"This morning, I'm enjoying a 198-gram egg burrito and drinking 360 grams of unsweetened bottled water.",37.92,24.79,463.32,20.83,USA,metric
"For lunch, I'm having a 92.0g peanut butter sandwich made with regular peanut butter on whole wheat bread, along with a glass of 244.0g whole milk.",45.78,26.55,496.0,22.04,USA,metric
I’m enjoying a medium breadstick with a cup of school lunch meatless pasta and a cup of chocolate milk for lunch.,100.53,7.66,546.76,22.3,USA,natural
"This morning, I had 496 grams of orange juice, along with a hash brown that weighs 55 grams and a 126-gram English muffin sandwich with egg, cheese, and ham.",100.42,22.14,679.92,21.98,USA,metric
"For lunch, I'm having a medium cooked ground beef patty with a slice of cheese and a packet of ketchup.",3.79,21.68,318.58000000000004,26.02,USA,natural
Dinner consists of a calzone stuffed with meat and cheese and a medium cookie that's like a brownie without icing.,163.08999999999995,82.31,1652.58,64.47,USA,natural
Lunch includes 507 grams of bottled unsweetened water along with 20 grams of Italian sausage.,0.43,5.24,64.4,3.64,USA,metric
"I had a raw banana of 126 grams, a 109-gram tangerine, and a 242-gram apple for lunch.",76.74000000000001,1.17,295.75,2.88,USA,metric
I’ve got 110 grams of chicken back for my snack.,0.0,22.88,327.8,28.3,USA,metric
"For my snack, I have a slice of cheese pizza and a 12 fl oz root beer.",79.09,11.53,469.06000000000006,13.55,USA,natural
"For dinner, I'm having a small cheeseburger (115.0g) with a single patty, some fast food french fries (110.0g), and a root beer soft drink (372.0g).",112.4,33.31,839.57,22.72,USA,metric
"For a quick snack, I have a 34g nutrition bar, 43g of light butter popcorn, and a 40g Fiber One chewy bar.",73.97,12.81,481.47,17.58,USA,metric
I’ve got a banana and a doughnut with icing lined up for breakfast.,67.2,17.810000000000002,435.39,4.5600000000000005,USA,natural
"For my snack, I prepared 480 grams of brewed coffee and added 30 grams of fat-free flavored coffee creamer.",9.52,0.91,49.8,0.76,USA,metric
I'm enjoying a medium-sized salted soft pretzel for dinner.,84.07,3.67,408.0,9.71,USA,natural
Lunch today consists of 248 grams of chocolate milk and 142 grams of thin crust cheese pizza.,69.63,13.98,509.46,26.64,USA,metric
I’ve got a medium chicken breast roasted and a cup of brown rice cooked for dinner.,49.63,13.31,487.5,39.44,USA,natural
"This morning, I'm enjoying a sandwich with egg, cheese, and bacon on a biscuit.",35.44,25.35,436.45,17.41,USA,natural
I’m starting my day with 244 grams of whole milk and 35 grams of pork sausage.,11.89,17.349999999999998,260.15,14.49,USA,metric
Dinner is a cup of my home recipe chicken or turkey noodle soup.,11.88,5.35,147.01,13.4,USA,natural
Just opened a 16 fl oz bottle of iced black tea for a quick snack.,53.57,1.09,223.2,0.0,USA,natural
"For breakfast, I'm having a can of diet pepper soft drink.",1.04,0.11,7.2,0.4,USA,natural
"I'm enjoying a medium crust pizza with extra meat, which weighs 150 grams, alongside 507 grams of bottled water for lunch.",39.93,18.6,411.0,20.78,USA,metric
"For breakfast, I ate 28 grams of wheat bread and a hearty 75-gram egg omelet with meat and margarine.",13.93,11.54,212.47,12.61,USA,metric
"For my lunch, there's a 33-gram tortilla and a medium pepperoni pizza slice that weighs 147 grams.",60.06,16.19,477.3,22.64,USA,metric
I’m eating 120 grams of chicken breast for lunch; it’s baked and I took off the skin.,0.0,4.28,172.8,33.65,USA,metric
"For a snack, I have 28 grams of plain baked potato chips and a 20-gram chocolate chip cookie.",33.06,10.04,229.72,2.42,USA,metric
